Date,Rank,Song,Artist,LastWeek,PeakRank,WeeksOnBoard
8/30/1997,1,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,2.0,1,5
8/30/1986,1,Higher Love,Steve Winwood,2.0,1,12
8/30/1980,1,Sailing,Christopher Cross,2.0,1,12
8/30/1975,1,Get Down Tonight,KC And The Sunshine Band,3.0,1,8
8/30/1969,1,Honky Tonk Women,The Rolling Stones,1.0,1,7
8/3/2019,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1.0,1,21
8/3/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1.0,1,14
8/3/2002,1,Hot In Herre,Nelly,1.0,1,14
8/3/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,4.0,1,33
8/3/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1.0,1,6
8/3/1985,1,Shout,Tears For Fears,2.0,1,8
8/3/1974,1,ANNIE's SONG,John Denver,1.0,1,10
8/3/1968,1,"Hello, I Love You",The Doors,9.0,1,5
8/3/1963,1,So Much In Love,The Tymes,2.0,1,10
8/3/1959,1,Lonely Boy,Paul Anka,1.0,1,10
8/29/2020,1,WAP,Cardi B Featuring Megan Thee Stallion,1.0,1,2
8/29/2015,1,Cheerleader,OMI,2.0,1,17
8/29/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,10
8/29/1998,1,The Boy Is Mine,Brandy & Monica,1.0,1,14
8/29/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1.0,1,7
8/29/1987,1,La Bamba,Los Lobos,2.0,1,10
8/29/1981,1,Endless Love,Diana Ross & Lionel Richie,1.0,1,8
8/29/1970,1,War,Edwin Starr,4.0,1,8
8/29/1964,1,Where Did Our Love Go,The Supremes,1.0,1,8
8/29/1960,1,It's Now Or Never,Elvis Presley With The Jordanaires,1.0,1,7
8/28/2021,1,Stay,The Kid LAROI & Justin Bieber,1.0,1,6
8/28/2010,1,Love The Way You Lie,Eminem Featuring Rihanna,1.0,1,8
8/28/2004,1,Lean Back,Terror Squad,1.0,1,10
8/28/1999,1,Genie In A Bottle,Christina Aguilera,1.0,1,9
8/28/1993,1,"Can't Help Falling In Love (From ""Sliver"")",UB40,1.0,1,16
8/28/1982,1,Eye Of The Tiger,Survivor,1.0,1,13
8/28/1976,1,Don't Go Breaking My Heart,Elton John & Kiki Dee,1.0,1,9
8/28/1971,1,How Can You Mend A Broken Heart,Bee Gees,1.0,1,10
8/28/1965,1,I Got You Babe,Sonny & Cher,1.0,1,8
8/28/1961,1,Wooden Heart,Joe Dowell,2.0,1,10
